# Países;Fecha;Super 95;Super 95 (Sin imp.);Diesel;Diesel (Sin imp.);Diesel Cal.;Diesel Cal. (Sin imp.)
España;14/05/2007;1,081€;0,525€;0,955€;0,512€;0,598€;0,430€
España;07/05/2007;1,075€;0,520€;0,951€;0,508€;0,595€;0,428€
España;30/04/2007;1,064€;0,509€;0,947€;0,505€;0,594€;0,427€
España;23/04/2007;1,046€;0,494€;0,945€;0,504€;0,594€;0,427€
España;16/04/2007;1,046€;0,495€;0,951€;0,509€;0,596€;0,429€
España;02/04/2007;1,024€;0,475€;0,936€;0,495€;0,565€;0,402€
España;26/03/2007;1,002€;0,456€;0,917€;0,479€;0,567€;0,404€
España;19/03/2007;1,001€;0,456€;0,918€;0,480€;0,572€;0,408€
España;12/03/2007;1,009€;0,462€;0,923€;0,484€;0,566€;0,403€
España;05/03/2007;0,998€;0,453€;0,915€;0,478€;0,555€;0,393€
España;26/02/2007;0,969€;0,428€;0,906€;0,470€;0,556€;0,394€
España;19/02/2007;0,957€;0,417€;0,899€;0,464€;0,553€;0,391€
España;12/02/2007;0,957€;0,417€;0,899€;0,464€;0,545€;0,384€
España;05/02/2007;0,947€;0,409€;0,889€;0,455€;0,535€;0,376€
España;29/01/2007;0,942€;0,404€;0,885€;0,451€;0,532€;0,373€
España;22/01/2007;0,940€;0,403€;0,885€;0,451€;0,541€;0,381€
España;15/01/2007;0,950€;0,411€;0,891€;0,457€;0,552€;0,390€
España;08/01/2007;0,960€;0,420€;0,901€;0,465€;0,565€;0,401€
España;15/12/2008;0,861€;0,335€;0,889€;0,455€;0,565€;0,400€
España;08/12/2008;0,889€;0,359€;0,921€;0,482€;0,612€;0,441€
España;01/12/2008;0,902€;0,370€;0,949€;0,507€;0,625€;0,452€
España;24/11/2008;0,909€;0,376€;0,969€;0,524€;0,648€;0,472€
España;17/11/2008;0,944€;0,406€;0,998€;0,549€;0,682€;0,501€
España;10/11/2008;0,967€;0,426€;1,010€;0,559€;0,702€;0,519€
España;03/11/2008;0,991€;0,446€;1,017€;0,565€;0,703€;0,520€
España;27/10/2008;1,023€;0,474€;1,054€;0,597€;0,721€;0,534€
España;20/10/2008;1,058€;0,504€;1,070€;0,611€;0,756€;0,565€
España;13/10/2008;1,111€;0,551€;1,127€;0,660€;0,811€;0,612€
España;06/10/2008;1,140€;0,576€;1,155€;0,685€;0,844€;0,641€
España;29/09/2008;1,144€;0,579€;1,151€;0,681€;0,839€;0,636€
España;22/09/2008;1,162€;0,594€;1,163€;0,691€;0,844€;0,642€
España;15/09/2008;1,183€;0,612€;1,185€;0,710€;0,866€;0,659€
España;08/09/2008;1,186€;0,615€;1,193€;0,717€;0,874€;0,667€
España;01/09/2008;1,194€;0,622€;1,201€;0,724€;0,881€;0,673€
España;25/08/2008;1,189€;0,618€;1,195€;0,719€;0,861€;0,656€
España;18/08/2008;1,192€;0,620€;1,205€;0,727€;0,880€;0,673€
España;11/08/2008;1,197€;0,624€;1,217€;0,738€;0,898€;0,688€
España;04/08/2008;1,212€;0,638€;1,263€;0,777€;0,926€;0,712€
España;28/07/2008;1,234€;0,656€;1,289€;0,800€;0,956€;0,738€
España;21/07/2008;1,264€;0,682€;1,319€;0,825€;1,001€;0,777€
España;14/07/2008;1,277€;0,693€;1,329€;0,834€;0,996€;0,772€
España;07/07/2008;1,271€;0,688€;1,323€;0,830€;0,990€;0,766€
